{0x30810463,0x3e885368,0xfab5361f,0xbaabce1a,0xe30605fb,0x95d188e3,0xaf327f4e,0xbf88979d}{0x62c003b6,0xb0a5b5f6,0xd10ccc65,0xe2acf33d,0x1b08374c,0xfa9321a1,0x343caa81,0xa76c72f3}
{0x43752b25,0xdda9e454,0x2b538133,0xa4f4cfa5,0x92e1a5e2,0xb5184147,0x9b4c0644,0x6cc5c9d6}{0x91885ce3,0xb94612a7,0xb56a4894,0x855ab43c,0x3ad3f3cd,0x93d1973f,0x900896ac,0x140611b8}
{0xfa79503e,0x4812453d,0xba86e5eb,0x18f38eb4,0xb7c7397d,0x8c0f6cb9,0xca6e9946,0x24294457}{0x72c6758f,0x212d3550,0xc5a9fbae,0x75bd3556,0x178a9df7,0x77aa7037,0xee9cffcf,0x67f8dcce}
{0xf518317d,0x32a634f1,0xe8a40323,0x91182bb7,0x9bb6319e,0x98a6a28d,0xb77854cf,0x19b6b766}{0x7dfd6d0e,0xeffe203c,0xcba618f4,0xf8bf7ed4,0xc5c0f1fe,0x2d95e107,0x69fae7c3,0x33f1c24c}
{0x0ff73730,0xa761be48,0xba7e3b2c,0x4ad2246d,0xc15a85dd,0x4b8a2798,0x18005521,0x04d40665}{0x57575fd3,0x99e05c19,0xcdb769f0,0x891352c0,0x62eb4d96,0xad4fa168,0xa33d8b71,0x5f7905db}
{0xa7fefaa1,0x2837bcca,0x1b7152a0,0xa0903bb3,0xb4e23b83,0x89334f2c,0x7b97b9fc,0xc298b58b}{0x6a370fb8,0x22521418,0x0e715a44,0x84b82888,0x45779906,0x84ae7151,0x33b053f2,0x541cbd57}
{0x105f02bd,0x71deb679,0x24376ff2,0x3280162a,0xa67b60f1,0xed5078fc,0xdaa831a1,0x6650ea53}{0x50d6da50,0x2fee672b,0xade6eb5e,0x1d188bb8,0x6c85613b,0x1a30c94a,0xccc9f715,0x1b98c4fd}
{0xaebdc246,0x1262ffc7,0x3533b38d,0x41c19a73,0x64c0d2b6,0xd0235d65,0x036d4045,0x6f1e2c6f}{0xe7d8f3cf,0x4c68da47,0xc62b8938,0x06445d71,0xe493ead5,0x6f8dc942,0x135d09c1,0x194fd1dd}
{0x0e72fc56,0xde48868f,0x23604a41,0xcf18e6a5,0xecc1f5f2,0x3132a5a3,0x2aaf5f38,0x5eb71fef}{0x61548bef,0x08dcd199,0x484a0533,0x6f37a088,0xa5b1ac50,0xb491534b,0xb0035e32,0x0df5fb0b}
{0xeb3aaee8,0xeaedf3c7,0xe639d250,0x10e67b2c,0x23430bc0,0x3cd4853e,0xafc78c3a,0x849c9095}{0x3d18c18b,0x701c37ec,0xbf8c271c,0xe7e5cb40,0xc6f91490,0x2aa28975,0xe78b2256,0x8db4bdae}
{0x89bab937,0xbbb5594e,0xc99c44fd,0x5e59ba0c,0x11310f38,0x0fba4268,0x0a3f7ba4,0xc48c5c58}{0xd784dd46,0xd5bbbecf,0xc265131f,0x4d498698,0xa6cb48e9,0x9396180c,0x125ea328,0xf897d991}
{0xaedb166a,0x4218abdb,0xf2537c71,0x76340c07,0xf53e2840,0x2f19e1ba,0x598e6f4c,0xdd5eb92b}{0x2e1ec083,0xc97ecb4c,0x057dde4c,0xdd009751,0x40baf5d2,0x5f99b3ad,0x67941600,0x01760a1f}
{0x1e9565c0,0xbc53cc38,0x191bc530,0xa5466ba1,0x6d21129f,0x83f3bddf,0x0afeb1c5,0xa7962038}{0x9d96510c,0x570bb0df,0x8e7ea70c,0xce43f51b,0xf88e8ea2,0x8bfee547,0x92bc29e0,0xe2d79bc9}
{0x05d1dca9,0xa448f699,0xdff7f5f1,0x72fe8d2a,0xfa443c36,0xbc7f2d56,0x828c515a,0x8719ce3a}{0xe565868c,0xd16cda68,0xa469aa1e,0xa8600c9a,0xaef0a60b,0x9abe6ded,0x6178c696,0x4ec25b9a}
{0xf3254acc,0xeb899270,0xb723690a,0x0ae06626,0x5e865622,0x0e8b0e59,0x18f82cbf,0x9708fddc}{0x2cc311ed,0x462a3acf,0xe948999a,0x3827ddc0,0x7a6b8169,0xde985efa,0x91b6de3e,0xa1545268}
{0xb8e0a912,0x0e6a4041,0xa4a584a4,0x30301e3d,0xbebdb419,0xd341cd8b,0x0e10f3f8,0xa5754ac0}{0xfbe51df2,0xcfb2ae96,0x3aa71442,0xdf3e6199,0xa6335b94,0xfb48efea,0xcb34a1ee,0xbac2f4ff}
{0x655fa005,0x03ade77b,0x619958e8,0x773a93f9,0xf62eea1c,0x6a2d744d,0x9d7b1828,0xca2ce743}{0xcc02fbb8,0x75675e02,0xfec85a30,0xab556e0f,0xbb4c83ed,0x6a4748e9,0xe8ca56c9,0xaef908fc}
{0x7b4085d9,0x8ee2756f,0x7a4739ef,0x98f6f374,0x078bf715,0x20a441d4,0xfe98ea99,0xc70c22d5}{0xd2c52ef5,0x418bc76f,0x20a11b91,0x1d7e1eab,0xb971b2fa,0x0e6ca783,0xc9b4cb4f,0xff95e590}
{0x4496d70f,0xc0e7a247,0x00566c58,0x305c84ba,0xe761a0e5,0x100aad20,0xb9eed170,0x6f096dd6}{0x2817e3fa,0xdac35005,0xab591124,0x6b15aeaa,0xaa40c40a,0x5eff6822,0x5d7aced2,0xc1889efc}
{0xa865c656,0x49c7d452,0xbf55ad62,0xf603cdb2,0x00756fe9,0xb008c202,0x5aa80592,0x5653437e}{0xb758a966,0x82affc40,0x2b3e8a5d,0xf703a73f,0x83793bc2,0xeb0d4362,0xef3aa558,0x6809c1c8}
{0x0ddac52a,0xe2d6318e,0x0ca1f902,0xea8922fa,0x7870ffad,0x39a98643,0x4d4f49bf,0x7a9a013e}{0x6d63b86e,0xd75a1152,0x08f2b7fe,0x338b5c6f,0x33b669cb,0x6f4a9da0,0x75637623,0xd948d775}
{0x4ef363a5,0x077af40e,0xcadf267b,0x643b8df2,0x72023208,0xe0d08c73,0x11bfad31,0xc89e6153}{0xb5476828,0x12d258ad,0xd947e532,0x25f89c78,0x9db7a2e8,0x14a6bbd9,0xf3f569c2,0x6aeaea5a}
{0x228451b7,0x7983946d,0x3e0732f3,0x4da403ff,0x87882cd0,0x8f8c1a20,0xca672e9b,0x11d5db35}{0x23c8723a,0xca305c5f,0x4c4b71f6,0x16f4b733,0x7aaca662,0x79fb6588,0x0ed62e71,0xcf22aa4e}
{0x5d270e62,0x59824f87,0xb68e79c0,0x226ac1fe,0x4364f169,0xd8df97d7,0xe02872e9,0x49ad98d5}{0xf2cd4f60,0x4826527e,0x75a249d1,0xfbc4693a,0x8de6b155,0xdbc732a7,0xfa7f880e,0xa7063ed9}
{0x7ede495a,0x6b58c4e8,0x5a1ee150,0xbaf09133,0x11bc88e9,0x190f6cdd,0x03a670d9,0xdadccedc}{0xc6cfd545,0x91d5df62,0xbbe9fd63,0xad8f8256,0x82bfbd39,0x932484d1,0x0bab47b3,0xd18c0600}
{0x20cbcd38,0x8d84eacb,0x6a022ae8,0x823871c6,0x7544cf15,0x79943631,0x032c0908,0x0fb8796e}{0x72340b31,0x76dd07be,0xc3ece4bc,0xff2e279c,0x38a65fdc,0x01066eda,0x4a325ec0,0x4fc6f8dd}
{0xacf1f5e2,0x117ab937,0xe9505f13,0x8c301026,0xe5cb5443,0xa5985939,0x542d3228,0x3c97bf75}{0x86905e70,0xba893343,0x80a9553e,0xcf066bd1,0x3354d954,0xc5a5f0de,0x8edd750c,0xc3ecdb6a}
{0x451e7681,0x0daff04c,0x4ee76f1e,0xbdc0658b,0x336ad925,0x6132919f,0x9442d925,0xec91ab81}{0x129f6c0a,0xa80d0a37,0x979128a1,0xf9158caa,0xce173a5b,0xced0df9a,0xb98ce0ee,0xfe71c5e0}
{0x94f1d51a,0x86d71660,0x0769df94,0x9dd88156,0x24c40175,0x15370672,0x48f7d815,0xadb1bd18}{0xc6260892,0x3b74d8a4,0xfd57f64c,0xb46170e5,0xa9485fe8,0x59b5fd64,0xf2ddf0eb,0xf654192d}
{0x1c823f8c,0x645dcf62,0x80168bbd,0xce8d24be,0x71f0670f,0xacd614bb,0x811996b3,0xa8c3e7ee}{0x56dec4fe,0xb47024e7,0x06cfde7a,0xc5767b56,0xb2bdb804,0x4bc5c2d8,0x36472407,0x6d1cdf05}
{0x382578b8,0x708922ad,0x2ca915f0,0xf0de2e8a,0xa7ded09f,0x4de978a0,0x953066df,0xbcc40abc}{0x68041d55,0xae4a4384,0xb4d2031d,0x15d16816,0xc8cf0f7a,0xc24dc625,0xc8a4b1aa,0x063a64e3}
{0x76fa3cee,0x995f436c,0x7a772749,0x2758aa40,0x0c2814e8,0x13621e65,0x3b4de631,0x338c55ac}{0xd7e927d4,0x664bb586,0xee718269,0x8fe813e9,0xf14bcc46,0x962d532c,0x8c6569c3,0x2235525b}
{0xa60f203e,0xc5dc6c3a,0x5546fa30,0x1c89c893,0xd627659c,0xce62b7b2,0xaec8608f,0xfc91a3bc}{0x167a6470,0x9a57a4cc,0x38852935,0x658c9e48,0x69a5d813,0xb45660e2,0xad161a4b,0xa3fcbdc6}
{0xd01662a0,0xb7417932,0x13fcabd8,0x05e262d2,0x0d8dea41,0x6a5acb6b,0x9b779931,0xbdbd649b}{0xbeecce1b,0xa94b4fb0,0x7276d4ca,0x738ee01b,0x718d5cfd,0xa3d9f816,0x64cafcbb,0x7a2ae158}
{0x12751520,0x56f521a8,0x68a7135f,0x56939c43,0xdfa22fda,0x722309a3,0xc53482f8,0x81377c3b}{0xb5a28650,0xd884439b,0xab5b1d74,0x02e2a11e,0xd92c7223,0xeb3a7570,0x2abab8cb,0xc080f5e9}
{0x41a7bc6f,0xda0b906d,0x63904498,0x9ff14ea1,0x861dafda,0x14d779fa,0x91b63b2d,0x16aefe7e}{0x01abad87,0xe038cb83,0xa02a5931,0xeec90005,0xb249207f,0xf81a674a,0x1a67e9fc,0xcba14e5f}
{0xae4fea49,0x90b94412,0xa08efb35,0x169e6e30,0x253c53d8,0x59e07746,0xf1bd7920,0xbc779f45}{0xb561c09c,0x245b9f4c,0xcca98304,0xe682d527,0xf12fbb02,0x18894472,0x67698d2c,0x29348e5d}
{0x35df4ddb,0x57ad17da,0x511f139b,0x0593654e,0xcdab1013,0x78b0f597,0x5812384d,0xf1c6e0d8}{0xad5f9646,0xfedfe9c5,0xba09c21f,0x572a921e,0x888418be,0xe3af8152,0x5fb096cd,0x01fec851}
{0x620deff2,0x2a0df328,0x6ea56f3e,0xe8979ae7,0x870dedc5,0x052e3315,0x8dcd881a,0xff39d3b6}{0xc8470a17,0xbebde3de,0xcd907965,0x0a5927f0,0x689c0567,0x1645fdab,0xff2279a8,0x430234ff}
{0x315894d4,0x8c3a0188,0x8109d66b,0x6025d456,0x69bae88d,0xb9d5d4be,0x0349be31,0xf904f2c9}{0x7a3ad3bb,0x52dae985,0x7d66e682,0x1583468c,0xbf904c7b,0x6b0694a8,0xc0197050,0x83868745}
{0xf8cb03c7,0x2218af54,0x59e28f74,0xe643bc7b,0x6242db32,0x5a84544f,0xd1b8465f,0x690e5462}{0x4cadcf66,0xd594c060,0x011eac20,0x6df908be,0x46f0e716,0xec02e2d2,0x43503e99,0xf605ae4f}
{0xe890094d,0xa8c803fc,0x1bff1d70,0xb68c30cc,0xbb3a4e13,0x1013901c,0x416bf997,0x71cd81b4}{0x4f0e16b9,0x83d33c42,0xcab29929,0x46c00f2e,0xd352c72c,0x86c89b1e,0x2cadde30,0x7b8df37f}
{0xc7d507ab,0x5d3d2f35,0x02c23996,0x8594baa3,0xa584fd94,0xeb89d72a,0xd9ff7c51,0x68a2903b}{0x4d3367e0,0xe17b8256,0xa093d7eb,0xc7f7eca5,0x4997ddfa,0x08bbb8c8,0x0c12d4dd,0x3e52620b}
{0xc135f3f4,0x074680d1,0xeb440f42,0x995eb43c,0xd5ff01ec,0xef6429ab,0xe20dec1c,0xa91947e2}{0x2f8d7652,0xeac120a6,0xe6564815,0x163f4763,0x58a65268,0x863e9d14,0x8984142f,0x6673cdc9}
{0x2a444175,0xbd2d897e,0x22355c57,0xfb792424,0x7aaf34e8,0x52c83bcd,0xa4ab68b8,0x685990fa}{0x6299daa8,0x926232c8,0xcef5b306,0xb376085b,0x02584bda,0xc3970ec7,0xf754bfb0,0x224c39ab}
{0xe09f6504,0x085cbae7,0x5a053838,0xc630dd9a,0x765a5c82,0x6244c0c0,0x65ad1b83,0x67cd7424}{0xe3b06774,0x1ef624e3,0x1da34bd4,0x2bc03fe3,0xddcc03af,0xe28978bf,0x8ac68ede,0x28ac65a4}
{0x6efd7b1a,0xde008de1,0x98274f68,0xe4c3bfac,0x94c94dc4,0x4cf71001,0x9b9f7a57,0x0376e8c1}{0xafa81234,0xe9ecc95a,0x55eca359,0x4818afc7,0x19ed294f,0xd04665f2,0xf6009443,0x763f906b}
{0xf2fafbbc,0x8fcb28ad,0x3070507d,0x00a52bf8,0xd0ec97d8,0x173e9ccc,0xa6fd70c6,0xb1e7cb6b}{0x511fa535,0x6028a701,0xfb438346,0xc3a47c1e,0x077a783d,0x601c5e44,0x0a4dd599,0x0614e645}
{0x85a7fb20,0xef0b2751,0xd91abad8,0x5cb088d4,0xca5c1f59,0xb9d5478c,0x48823915,0x38a270bd}{0xd24d4b54,0x95255bd9,0x7233f602,0x9113ce68,0x70b9812a,0xc237e4c8,0x835e2ad5,0xf3b29170}
{0xcb81f6ce,0x9bda5d70,0x4852d9ef,0xe39fb8dd,0x54291d47,0x9a01fb99,0x075679a8,0x55b9a9b2}{0x733efaf9,0xbf6704cd,0xebd5bc04,0x7091802c,0x928faf04,0x775faeba,0x1a6ce878,0x115fd6d2}
{0x5bab8f2d,0x9d3f2b90,0xe5c6576d,0xe4d0cb15,0xb8c12d6f,0x75efa9aa,0x7fd14cd0,0x8f4516bf}{0xa8f6f901,0xb51e803f,0x5e1e9123,0xf2125735,0xe1b532be,0xe99c517d,0x4db02d5c,0x7c81f61b}
{0xf3a468c0,0x3b706817,0xc563795a,0x60cb18a4,0x75833200,0x6bd5ae35,0x8f2edfe9,0xc110aaf7}{0x086ec0e8,0x58857d4c,0x494955ad,0x556405cc,0xe0856a9e,0x29ef9d3a,0xb80214c5,0x35cfa658}
{0x2214ec40,0x60cd7387,0x90143b1e,0x7ddea6f7,0x69ea97ba,0x35a280d4,0x1912ca8c,0x93e8eda6}{0xae2d48c5,0x48a2e6d1,0x92a66e30,0xd23adfa0,0x777bbad7,0x846a0521,0x8d945a48,0x39b48a8f}
{0x71dbb533,0x0580757b,0xea76dd8a,0x8224ac98,0x93efcbdf,0x50568b78,0xb691b1d5,0xd84ee3ad}{0x2a6fd47e,0x43285f2f,0xe8f4f883,0x28cc5de6,0x9bd4b519,0x0c3dd298,0xe654fe91,0x37cccacd}
{0x79104e8c,0x5ec68864,0x33a30ca2,0x9e8f2022,0x98c36583,0xebcdbdf6,0xfa2b2e6d,0xefdf47b3}{0xb9534354,0x09dbfa02,0x6b341368,0xca742a27,0x531ea8b9,0xf3bbfe77,0x40ef4926,0x14024d33}
{0x2e0c808c,0x641c0ac3,0xbdf6014b,0xf94e27ae,0x96b83497,0xd852d6ee,0x08ecd22e,0x29354093}{0x86784291,0xd2e8bc3e,0xc87719e1,0x4182edc4,0x91e38552,0x872e0b78,0xcfd20e55,0x4370376e}
{0x756d57e4,0xbf7cd8b1,0x7dc9de3a,0x08793bc5,0x6a0fe12b,0x6101122b,0xb22ac685,0x82c6e882}{0x1c1a0017,0x571d6e99,0x288ae6cb,0xba089b7c,0x64c2a98b,0xfc3d98f2,0x0acb8078,0x7b725e73}
{0x6cfb8564,0x93e19fb2,0x23946860,0x0f81877f,0xca982afb,0xbd2aff1f,0x01293165,0xcc74cd68}{0x26a5edb5,0x219225de,0x2afbd8d9,0x978c7d95,0x0bb2438e,0xb3d6861f,0xc44975b1,0x9bec382a}
{0xfdd34a0f,0xcc9b8742,0x35ff0a2c,0xea60680b,0x6a024242,0x1de07cd3,0x166506f4,0xe34ce0b3}{0xd9564f39,0x03d8ea39,0x0edad628,0x5e2c59e2,0xbbb4ed3c,0xfba58565,0x76a85b9c,0x9419f13e}
{0x89ca648c,0x4df60403,0x26a13611,0xf8ec2887,0x04355de2,0xc7b51be8,0xb909f42c,0x622df8e3}{0x44613645,0x9fc42598,0x74c3b383,0xe54f74c1,0x91d03459,0xa8661068,0x13acec79,0xfc53849b}
{0xf9f59f55,0xa3f0f005,0x1e3ff7f9,0x2943d0f6,0x2fb5072e,0x0f428509,0xd743140a,0xfa86cf25}{0x0d4a55f9,0xb02d8c42,0x912da312,0x3e6f7a81,0xc5cb7e51,0x4e5fdf1d,0x0db84557,0x0853a220}
{0x4c06ac21,0xbfbb2231,0xcb61f145,0x95f26e0a,0x4b159c90,0x7c183997,0x917b6863,0x55ba0675}{0x4c5bbf90,0xd3754e8f,0x95f9eb3f,0xee2b30a5,0x3d31fdfc,0xb1f92eb1,0x8aca3606,0x518581ca}
{0x1ce796af,0x31d3ade7,0x3ed33567,0x41cc2cf8,0x7edb461d,0xbe171fbc,0xfdf216c6,0x861df0ad}{0x344b4679,0x404b4a44,0xf1de860b,0xd1733ee6,0xab727e2c,0x979f13a0,0xc8d43bf2,0x2f9ba179}
{0x95ae0b8b,0xc80f1e04,0x89e41eaa,0x36d54686,0x8c4e0101,0xa06326e0,0x6278a505,0x52eb19e9}{0x418b0aa9,0xdf9f9b73,0xb30760af,0xeca98fd3,0x7ec82ee3,0x3fe28a62,0xc4fa83fa,0x30522f51}
{0xaa6db9da,0x426e8695,0x07614566,0x0b99b951,0xd5b069e0,0x3d299ece,0x8ceed87f,0xf063c141}{0x859305e9,0x25433b4f,0xb1068213,0x6d685f2b,0xbd9ad3c4,0x021a0f27,0x757aa161,0x5ee2e71a}
{0x70b3abc5,0xe2267a16,0x00ab424f,0xe286646b,0xdc2a3b52,0x79ab9b5b,0x6b316247,0x0af570e5}{0x923341ef,0xf4dc2ac4,0x18249cd6,0x4dbe9f02,0x80b3ccf5,0x00601457,0x100a4161,0x29471239}
{0xa8bd5a0f,0x0e8b4d85,0xda4104b4,0x998e87c3,0x10047893,0xf0ee93c9,0xa50ede45,0x17a455a2}{0x6666b8fa,0x625c9441,0x33b5d050,0x8a568ffc,0xf3e69d77,0x1960c596,0x779c7dd3,0x4648f0c2}
{0xfa380150,0xc724d4ff,0x208ca99c,0x6a75e56e,0xa866e75e,0xd277ab4b,0xc766013c,0x40e120f9}{0xae903d8a,0xfbad89d7,0xb135bae2,0x4f9ec4a6,0xbfd8882f,0xc5f9b119,0x0b4e2c12,0x62462871}
{0x24119ecb,0x10ec327e,0x8f61d12a,0xae2c83bb,0xc3a7a5f1,0x65a7fe6a,0xccd27729,0x39970031}{0x1e7cd919,0xb7ed3eab,0x18da8abe,0x1e1ff2e4,0x1ab64c05,0xfd8f2c77,0x17948fdb,0x4812acec}
{0xa49e2b2c,0x32f10afc,0xe78084ea,0x202f2825,0xeae70291,0x437b262f,0x8e87ff19,0xdf6e53db}{0x9269f4cf,0xe31ad22d,0xcbfdef98,0x66859f06,0xe865382b,0xdc9817f8,0xc18c2a31,0x22bae74a}
{0xe80b3bca,0xfdc8cd04,0x0ece8739,0x8e369ba7,0x9c5902c9,0x10fc2098,0xff2b5c24,0x82995502}{0x32ace27b,0xc4da9105,0x5863681a,0x17191e1a,0x18909862,0xf75889fc,0xad119db6,0x436ccdc3}
{0x2eeb79de,0x8c8b20df,0xd05c7ca6,0x51f0acfe,0x10108291,0xd3d78f2e,0x2e9bb2f7,0xac6981cf}{0xbba02769,0xd2729fad,0x24c7af63,0x0a00dea6,0x25e95436,0xb06a47e5,0x3abb72a0,0xe14c2d0a}
{0x66ed695a,0x98e8f87d,0xe44bb1c4,0x2f24f451,0x52362a78,0xb13d0106,0xe4bbf8d8,0xecee738b}{0x6470be64,0x10520f17,0x46885294,0x4e622f3e,0x35bd6c78,0x213ab56c,0x91f8f848,0x81981694}
{0xad9704c6,0xa6b3bf1d,0xbf4c58e1,0xc15280a9,0xfc094361,0x45678db4,0xda5f55d2,0x999b17f6}{0xf9d097a4,0x73f2726f,0xa2c90e62,0x6bd328e7,0x60bf458d,0x9cba80f0,0xcea7d150,0x594f680b}
